subID,gems,bomb,pGems,chose80,chose60,chose40,chose20,it,lr,sticky
32077296,40,42,0.517777777777778,0.3,0.241666666666667,0.205555555555556,0.252777777777778,1.63835436347142,0.399392779972293,1.52000152271895
32652056,44,51,0.497777777777778,0.280555555555556,0.230555555555556,0.186111111111111,0.302777777777778,9.64068646655614,0.60770112723397,0.318116260760627
32770056,45,60,0.488333333333333,0.227777777777778,0.25,0.258333333333333,0.263888888888889,13.6794910697445,0.659276359758317,1.73350850852761
34007277,44,42,0.491111111111111,0.263888888888889,0.183333333333333,0.297222222222222,0.255555555555556,7.88353065369181,0.422057242795871,0.521038789984592
34951663,39,50,0.485,0.213888888888889,0.244444444444444,0.294444444444444,0.247222222222222,7.67730012037511,0.606527533686806,1.05960868528281
35009021,63,50,0.501666666666667,0.175,0.369444444444444,0.244444444444444,0.211111111111111,7.61199550896729,0.525452124310614,0.084978238202661
35400255,29,49,0.482222222222222,0.197222222222222,0.255555555555556,0.308333333333333,0.238888888888889,1.58657058038782,0.567245128143078,0.0108826547037501
35832077,46,43,0.531666666666667,0.3,0.227777777777778,0.302777777777778,0.169444444444444,3.62128265857683,0.00096277936467205,1.25995528701324
36443359,35,41,0.458888888888889,0.230555555555556,0.152777777777778,0.297222222222222,0.319444444444444,4.35849816444678,0.00698096570464341,-0.11907814040346
36674978,61,45,0.552777777777778,0.397222222222222,0.0972222222222222,0.377777777777778,0.127777777777778,3.08805996849466,0.986412243622189,0.654120981701683
38044783,49,43,0.599444444444444,0.452777777777778,0.252777777777778,0.133333333333333,0.161111111111111,2.01149367631675,0.200108512958167,2.98972834649613
38278053,71,48,0.538333333333333,0.355555555555556,0.188888888888889,0.247222222222222,0.208333333333333,9.65343776412853,0.674147934344646,0.98272438878922
38292526,59,43,0.547777777777778,0.297222222222222,0.322222222222222,0.202777777777778,0.177777777777778,5.82383965602891,0.527837113449525,0.571688980025811
38985709,63,39,0.467777777777778,0.191666666666667,0.227777777777778,0.308333333333333,0.272222222222222,3.67047347354045,0.000888671032224723,0.384092587430114
39988116,58,45,0.516666666666667,0.255555555555556,0.238888888888889,0.338888888888889,0.166666666666667,9.04032664291324,0.738796354545994,1.47935223397802
40637120,68,38,0.578333333333333,0.394444444444444,0.252777777777778,0.202777777777778,0.15,6.65351089932769,0.518038014177627,1.72398775510917
40734392,42,58,0.45,0.144444444444444,0.247222222222222,0.322222222222222,0.286111111111111,3.29738843743985,0.321366356575472,2.98493202500315
42240460,45,38,0.555,0.358333333333333,0.213888888888889,0.272222222222222,0.155555555555556,6.41561026777608,0.0196245845366317,-1.07095937346665
42980300,47,46,0.541666666666667,0.288888888888889,0.294444444444444,0.252777777777778,0.163888888888889,8.45189442905159,0.581488798238791,2.08140167561761
43429066,42,53,0.480555555555556,0.2,0.316666666666667,0.169444444444444,0.313888888888889,12.8891202026383,0.773231791814567,1.31458506749861
44123759,52,47,0.527777777777778,0.313888888888889,0.222222222222222,0.252777777777778,0.211111111111111,1.03845709594384,0.207575638163702,-0.0238604685860553
44245712,63,58,0.493333333333333,0.238888888888889,0.241666666666667,0.266666666666667,0.252777777777778,5.56108096135513,0.560431593423251,2.19272287363613
44488552,44,40,0.542777777777778,0.327777777777778,0.244444444444444,0.241666666666667,0.186111111111111,4.1374900063335,0.0054151990001672,-0.257965346473696
44615728,46,68,0.460555555555556,0.113888888888889,0.311111111111111,0.338888888888889,0.236111111111111,6.12315585835757,0.30791053426681,2.54529009118174
44688841,54,43,0.547777777777778,0.311111111111111,0.286111111111111,0.233333333333333,0.169444444444444,5.41451484978034,0.870787098551343,2.68589260156681
44930780,68,23,0.640555555555556,0.561111111111111,0.183333333333333,0.152777777777778,0.102777777777778,9.64157631955568,0.00457240460369616,2.17185031238024
45397727,67,61,0.492777777777778,0.325,0.130555555555556,0.227777777777778,0.316666666666667,6.28239210298363,0.440531898287114,1.25098483537266
45860066,53,39,0.545,0.313888888888889,0.288888888888889,0.205555555555556,0.191666666666667,7.50819566025361,0.453556957468932,1.64579445514627
47434585,43,47,0.526666666666667,0.236111111111111,0.336111111111111,0.252777777777778,0.175,3.17283708960284,0.21102482496665,1.80935863155976
48384846,46,55,0.493888888888889,0.2,0.347222222222222,0.175,0.277777777777778,11.7085117559493,0.554827397251083,1.85911496443302
48575921,41,66,0.455555555555556,0.222222222222222,0.161111111111111,0.288888888888889,0.327777777777778,5.17571846800785,0.757412376380276,2.06827037817501
48686129,49,47,0.571666666666667,0.397222222222222,0.205555555555556,0.255555555555556,0.141666666666667,4.94549426209847,0.00540910495342597,1.56755152817691
48756483,68,39,0.577222222222222,0.383333333333333,0.238888888888889,0.258333333333333,0.119444444444444,5.41975111667384,0.00355329942019531,0.100670649262532
49206367,43,43,0.563888888888889,0.361111111111111,0.261111111111111,0.213888888888889,0.163888888888889,5.45626998199366,0.00556540274276624,0.59908215242631
50680211,51,62,0.467222222222222,0.230555555555556,0.177777777777778,0.288888888888889,0.302777777777778,6.48026409653065,0.924773040789511,1.38599224406483
50879904,34,55,0.447222222222222,0.191666666666667,0.216666666666667,0.227777777777778,0.363888888888889,1.39245649896867,0.83750915370659,0.226728505088058
51005789,57,46,0.503333333333333,0.269444444444444,0.255555555555556,0.197222222222222,0.277777777777778,9.55194988019101,0.836274301025374,-0.518937155363891
51022715,51,42,0.546111111111111,0.297222222222222,0.280555555555556,0.277777777777778,0.144444444444444,3.71683530885875,0.550631781409266,1.95598156304017
51463173,70,45,0.597222222222222,0.352777777777778,0.380555555555556,0.166666666666667,0.1,4.17416792769044,0.656687793875676,2.62375549248737
51686832,44,45,0.464444444444444,0.127777777777778,0.430555555555556,0.0777777777777778,0.363888888888889,14.9475250570481,0.00909127303564861,-1.08089818748108
51884863,47,48,0.532777777777778,0.316666666666667,0.280555555555556,0.152777777777778,0.25,9.39077828023121,0.481962262413319,1.77818383089619
51978508,45,54,0.502222222222222,0.252777777777778,0.252777777777778,0.247222222222222,0.247222222222222,5.15236344258832,0.817059537156459,0.196169271961397
54244675,62,57,0.52,0.263888888888889,0.352777777777778,0.102777777777778,0.280555555555556,7.34004744199243,0.865067950271479,0.896047388553615
