subID,gems,bomb,igbias,pGems,chose80,chose60,chose40,chose20,it,lr_pos,lr_neg,sticky,rt_mean,rt_tot
32205008,106,149,6,0.457222222222222,0.0777777777777778,0.416666666666667,0.219444444444444,0.286111111111111,7.27046834243093,0.0894699894449576,0.497778057109061,2.64021874873715,1519.72222222222,1519.72222222222
33301498,149,75,0.333333333333333,0.617222222222222,0.4,0.394444444444444,0.0972222222222222,0.108333333333333,6.26934709593352,0.667101470951364,0.805485159388442,0.0625842517189162,625.769444444444,625.769444444444
33983287,88,112,1.16666666666667,0.482777777777778,0.136111111111111,0.363888888888889,0.277777777777778,0.222222222222222,11.4012881389631,0.31656116605241,0.713310449867968,1.49787479472596,1055.925,1055.925
34543444,103,145,0,0.449444444444444,0.166666666666667,0.277777777777778,0.191666666666667,0.363888888888889,11.2986820426969,0.889725212486959,0.69430193980769,2.0522427394289,477.955555555556,477.955555555556
35188403,113,74,-0.333333333333333,0.598888888888889,0.508333333333333,0.125,0.219444444444444,0.147222222222222,2.64252041256719,0.811603424681868,0.855724066839064,0.546510875480369,531.711111111111,531.711111111111
37270032,129,105,2.83333333333333,0.512222222222222,0.222222222222222,0.266666666666667,0.361111111111111,0.15,7.52321077101339,0.972558493569745,0.909358697076286,-0.830700189356831,349.808333333333,349.808333333333
38121321,103,106,-1,0.485,0.169444444444444,0.275,0.366666666666667,0.188888888888889,4.04218788077627,0.917131932784165,0.661663446349256,0.638299000953123,655.941666666667,655.941666666667
38389828,105,102,5.16666666666667,0.539444444444445,0.255555555555556,0.283333333333333,0.363888888888889,0.0972222222222222,6.6600795284507,0.405324198856402,0.78410843756398,-0.517292197837725,577.111111111111,577.111111111111
39140001,160,89,1.16666666666667,0.613888888888889,0.391666666666667,0.363888888888889,0.166666666666667,0.0777777777777778,12.4221501209175,0.460432016894377,0.797977551361323,1.27444351520891,1953.42222222222,1953.42222222222
39573380,90,131,5,0.463333333333333,0.119444444444444,0.355555555555556,0.247222222222222,0.277777777777778,3.95896245814993,0.00594981346545533,0.00244538748684583,2.10284702953844,375.169444444444,375.169444444444
